ano,profundidade_cm,parcela,cultura,dmg,dmp,rmp,densidade,estoque_c,na,icv,altura,diam_espiga,comp_espiga,n_plantas,n_espigas,n_espigas_com,peso_espigas,produtividade
,0-10,CT,Millet,0.04695362680944894,0.24122902266104962,0.14409132473524927,-0.00827870267914554,-0.06704964795294104,5.4,-0.3411670620486952,1.8,50.8,18.0,14500.0,13500.0,3333.3333333333335,733.3333333333334,3333.3333333333335
,0-10,CT,Millet,-0.4912902395934131,-0.5939044009608286,-0.5425973202771208,-0.09540586014927659,-0.14109894130766876,13.5,-0.3411670620486952,1.7,50.8,18.0,14500.0,13500.0,3333.3333333333335,733.3333333333334,3333.3333333333335
,0-10,CT,Millet,-0.4206255922291086,-0.5406629336839778,-0.48064426295654317,-0.06966374544219181,-0.11922074099831752,0.7,-0.3411670620486952,1.85,50.8,18.0,14500.0,13500.0,3333.3333333333335,733.3333333333334,3333.3333333333335
,0-10,CT,Millet,-0.4382934845755883,-0.662556268688402,-0.5504248766319951,0.01548324935816429,-0.08351960283037832,5.6,0.35454616252119453,1.8,51.2,20.0,14500.0,13166.666666666666,1833.3333333333333,366.6666666666667,1833.3333333333333
,0-10,CT,Millet,-0.5324871269969669,-0.8353868423040521,-0.6839369846505094,-0.07428412500500073,-0.15524435839697867,12.4,0.35454616252119453,1.7,51.2,20.0,14500.0,13166.666666666666,1833.3333333333333,366.6666666666667,1833.3333333333333
,0-10,CT,Millet,-0.43667990655218664,-0.6446444145327828,-0.5406621605424847,-0.0765943147864094,-0.15709021607700135,3.4,0.35454616252119453,1.8,51.2,20.0,14500.0,13166.666666666666,1833.3333333333333,366.6666666666667,1833.3333333333333
,0-10,CT,Millet,-0.3589845841205448,-0.3516377061237479,-0.35531114512214634,-0.1630614180332771,-0.2620303324080523,10.533,-0.6890236743336391,1.8,49.6,20.4,13666.666666666666,13500.0,4833.333333333333,966.6666666666666,4833.333333333333
,0-10,CT,Millet,-0.3954534147861227,-0.5609972482696023,-0.4782253315278625,-0.16735177048445862,-0.26517450490760036,10.533,-0.6890236743336391,1.7,49.6,20.4,13666.666666666666,13500.0,4833.333333333333,966.6666666666666,4833.333333333333
,0-10,CT,Millet,-0.4610003695734243,-0.7106022501794171,-0.5858013098764208,-0.18550326162406888,-0.27847677317491626,10.533,-0.6890236743336391,1.6,49.6,20.4,13666.666666666666,13500.0,4833.333333333333,966.6666666666666,4833.333333333333
,0-10,CT,Sunn hemp,-0.4676341023234827,-0.7112341963785489,-0.5894341493510158,-0.11520748684703228,-0.169933959188134,3.0,-0.08027460283498654,1.7,50.6,17.8,11166.666666666666,11000.0,6500.0,1450.0,6500.0
,0-10,CT,Sunn hemp,-0.49998374728618683,-0.6946977545386868,-0.5973407509124368,-0.18451318028918035,-0.22742595954043654,3.2,-0.08027460283498654,1.8,50.6,17.8,11166.666666666666,11000.0,6500.0,1450.0,6500.0
,0-10,CT,Sunn hemp,-0.625162757703596,-0.9417117903079705,-0.7834372740057832,-0.22015610834514396,-0.2569932740073353,3.0,-0.08027460283498654,1.85,50.6,17.8,11166.666666666666,11000.0,6500.0,1450.0,6500.0
,0-10,CT,Sunn hemp,-0.4790461132619233,-0.7437055953180863,-0.6113758542900048,-0.09573588726090398,-0.01115828669896583,10.533,-0.08027460283498654,1.5,39.4,17.2,13333.333333333334,12333.333333333334,3500.0,766.6666666666666,3500.0
,0-10,CT,Sunn hemp,-0.4107356940764545,-0.49770762990819084,-0.45422166199232267,-0.06141306765146039,0.02534904954577956,10.533,-0.08027460283498654,1.8,39.4,17.2,13333.333333333334,12333.333333333334,3500.0,766.6666666666666,3500.0
,0-10,CT,Sunn hemp,-0.47719848749888394,-0.6698215847947601,-0.5735100361468219,-0.0848449925771386,0.04257719171549,10.533,-0.08027460283498654,1.65,39.4,17.2,13333.333333333334,12333.333333333334,3500.0,766.6666666666666,3500.0
,0-10,CT,Sunn hemp,-0.5546822637170213,-0.8126729198493113,-0.6836775917831663,-0.07989458590269806,-0.0801990745015288,10.533,-2.9500916541857793,2.1,52.6,16.8,16166.666666666666,15333.333333333334,8666.666666666666,2116.6666666666665,8666.666666666666
,0-10,CT,Sunn hemp,-0.5299171979199101,-0.8021151846973135,-0.6660161913086118,-0.0798945859027003,-0.08019907450152973,10.533,-2.9500916541857793,1.95,52.6,16.8,16166.666666666666,15333.333333333334,8666.666666666666,2116.6666666666665,8666.666666666666
,0-10,CT,Sunn hemp,-0.5472493561490024,-0.8178565308291177,-0.68255294348906,-0.15415068601928678,-0.148977847929131,10.533,-2.9500916541857793,2.2,52.6,16.8,16166.666666666666,15333.333333333334,8666.666666666666,2116.6666666666665,8666.666666666666
,0-10,CT,Pigeon pea,-0.5185337195209242,-0.7957642286552222,-0.6571489740880732,-0.09375572459112691,-0.2267927581342778,4.9,1.4850801524472643,1.5,52.6,18.0,14333.333333333334,9333.333333333334,2166.6666666666665,533.3333333333334,2166.6666666666665
,0-10,CT,Pigeon pea,-0.45344871025830435,-0.7071952134407975,-0.580321961849551,-0.13995952021922842,-0.25947737183149694,3.7,1.4850801524472643,1.65,52.6,18.0,14333.333333333334,9333.333333333334,2166.6666666666665,533.3333333333334,2166.6666666666665
,0-10,CT,Pigeon pea,-0.04607976813078507,0.35479037420012394,0.15435530303466943,-0.19078369541013676,-0.2954304468984377,3.4,1.4850801524472643,1.75,52.6,18.0,14333.333333333334,9333.333333333334,2166.6666666666665,533.3333333333334,2166.6666666666665
,0-10,CT,Pigeon pea,-0.47990186507907817,-0.6337350818631307,-0.5568184734711044,-0.14755014378670292,-0.145700988662776,10.533,-0.4281312151199314,1.6,52.2,17.8,13333.333333333334,11333.333333333334,4000.0,800.0,4000.0
,0-10,CT,Pigeon pea,0.20403670235318733,-0.4353316178190112,-0.11564745773291193,-0.0765943147864073,-0.08034015916497113,10.533,-0.4281312151199314,1.7,52.2,17.8,13333.333333333334,11333.333333333334,4000.0,800.0,4000.0
,0-10,CT,Pigeon pea,-0.10382479704947192,0.1693198440100101,0.03274752348026909,-0.11718764951680723,-0.1177326337148777,10.533,-0.4281312151199314,1.7,52.2,17.8,13333.333333333334,11333.333333333334,4000.0,800.0,4000.0
,0-10,CT,Pigeon pea,-0.5780496135303473,-0.8642271320781534,-0.7211383728042504,-0.660742302370233,-0.6186520516836511,10.533,-1.2108085927610563,1.6,51.4,19.2,14833.333333333334,14000.0,4500.0,950.0,4500.0
,0-10,CT,Pigeon pea,-0.5772498869570407,-0.874792611668866,-0.7260212493129534,-0.23335719281031586,-0.22714211063422782,10.533,-1.2108085927610563,1.75,51.4,19.2,14833.333333333334,14000.0,4500.0,950.0,4500.0
,0-10,CT,Pigeon pea,-0.55876424978612,-0.8355236607213476,-0.6971439552537338,-0.48318771631368024,-0.45600158968782845,10.533,-1.2108085927610563,1.6,51.4,19.2,14833.333333333334,14000.0,4500.0,950.0,4500.0
